Name,Type,Population 2020,Land area sq mi,Land area km2,Population density
Yorkville,City,"21,533",19.997,51.79,"1,076.8/sq mi (415.8/km2)"
South Holland,Village,"21,465",7.236,18.74,"2,966.4/sq mi (1,145.3/km2)"
Dolton,Village,"21,426",4.571,11.84,"4,687.4/sq mi (1,809.8/km2)"
Geneva,City,"21,393",9.919,25.69,"2,156.8/sq mi (832.7/km2)"
East Moline,City,"21,374",14.596,37.8,"1,464.4/sq mi (565.4/km2)"
Grayslake,Village,"21,248",10.9,28.23,"1,949.4/sq mi (752.7/km2)"
Libertyville,Village,"20,579",8.808,22.81,"2,336.4/sq mi (902.1/km2)"
Crest Hill,City,"20,459",9.052,23.44,"2,260.2/sq mi (872.7/km2)"
Harvey,City,"20,324",6.206,16.07,"3,274.9/sq mi (1,264.4/km2)"
Frankfort,Village,"20,296",15.788,40.89,"1,285.5/sq mi (496.3/km2)"
Montgomery,Village,"20,262",9.299,24.08,"2,178.9/sq mi (841.3/km2)"
Evergreen Park,Village,"19,943",3.163,8.19,"6,305.1/sq mi (2,434.4/km2)"
Mokena,Village,"19,887",8.689,22.5,"2,288.8/sq mi (883.7/km2)"
Lake Zurich,Village,"19,759",6.868,17.79,"2,877.0/sq mi (1,110.8/km2)"
Brookfield,Village,"19,476",3.064,7.94,"6,356.4/sq mi (2,454.2/km2)"
Homewood,Village,"19,463",5.216,13.51,"3,731.4/sq mi (1,440.7/km2)"
Lake Forest,City,"19,367",17.2,44.55,"1,126.0/sq mi (434.7/km2)"
Deerfield,Village,"19,196",5.528,14.32,"3,472.5/sq mi (1,340.7/km2)"
Matteson,Village,"19,073",9.285,24.05,"2,054.2/sq mi (793.1/km2)"
Alsip,Village,"19,063",6.525,16.9,"2,921.5/sq mi (1,128.0/km2)"
Ottawa,City,"18,840",14.657,37.96,"1,285.4/sq mi (496.3/km2)"
Bensenville,Village,"18,813",5.53,14.32,"3,402.0/sq mi (1,313.5/km2)"
Bellwood,Village,"18,789",2.398,6.21,"7,835.3/sq mi (3,025.2/km2)"
Round Lake,Village,"18,721",5.557,14.39,"3,368.9/sq mi (1,300.7/km2)"
Sycamore,City,"18,577",10.12,26.21,"1,835.7/sq mi (708.8/km2)"
Palos Hills,City,"18,530",4.246,11,"4,364.1/sq mi (1,685.0/km2)"
