name,type,pop_2020,LA_sqmi,PD_sqmi
Hillview,Village,94,0.816,115.2
Scottville,Village,93,0.997,93.3
Wilmington,Village,91,0.786,115.8
Maunie,Village,91,0.159,572.3
Kinsman,Village,90,0.068,"1,323.5"
Sailor Springs,Village,89,0.26,342.3
Rose Hill,Village,89,0.634,140.4
Belknap,Village,88,1.057,83.3
Otterville,Town,87,1.006,86.5
Exeter,Village,87,0.69,126.1
Ellisville,Village,87,0.271,321.0
Old Ripley,Village,82,0.154,532.5
East Brooklyn,Village,80,0.052,"1,538.5"
Basco,Village,80,0.222,360.4
Adeline,Village,78,0.266,293.2
New Bedford,Village,76,0.155,490.3
Detroit,Village,76,0.251,302.8
Foosland,Village,75,0.069,"1,087.0"
Johnsonville,Village,72,0.213,338.0
Irwin,Village,68,0.045,"1,511.1"
Yale,Village,67,0.575,116.5
Golden Gate,Village,65,0.079,822.8
El Dara,Village,63,1.011,62.3
Camden,Village,62,0.761,81.5
Walshville,Village,61,0.257,237.4
Muddy,Village,61,0.303,201.3
Topeka,Village,60,0.137,438.0
Bingham,Village,60,0.274,219.0
Mill Creek,Village,59,0.376,156.9
Junction,Village,56,0.826,67.8
Union Hill,Village,55,0.046,"1,195.7"
Ripley,Village,53,0.379,139.8
Keenes,Village,50,0.13,384.6
Belle Prairie City,Town,49,0.438,111.9
Panola,Village,47,0.429,109.6
Simpson,Village,44,0.525,83.8
La Prairie,Village,42,0.193,217.6
Gulfport,Village,42,1.412,29.7
Sciota,Village,38,0.312,121.8
Deer Grove,Village,38,0.411,92.5
Hollowayville,Village,36,0.049,734.7
Burnt Prairie,Village,36,0.076,473.7
Phillipstown,Village,34,0.27,125.9
Wenonah,Village,32,1.514,21.1
Rockwood,Village,32,0.212,150.9
Macedonia,Village,30,0.266,112.8
Bentley,Town,30,0.143,209.8
Fults,Village,28,0.053,528.3
Time,Village,26,0.254,102.4
Kaskaskia,Village,21,0.106,198.1
Florence,Village,17,0.276,61.6
Valley City,Village,14,0.27,51.9
Total municipalities,—,"11,170,271","4,873.41","2,291.7"
Illinois,—,"12,812,508","55,499.00",230.9
