name,type,pop_2020,LA_sqmi,PD_sqmi
Sterling,City,"14,764",5.791,"2,549.5"
Antioch,Village,"14,622",8.213,"1,780.3"
Mount Vernon,City,"14,600",14.583,"1,001.2"
Hickory Hills,City,"14,505",2.844,"5,100.2"
Chicago Ridge,Village,"14,433",2.268,"6,363.8"
Lindenhurst,Village,"14,406",4.527,"3,182.2"
Swansea,Village,"14,386",6.477,"2,221.1"
Chatham,Village,"14,377",7.364,"1,952.3"
Forest Park,Village,"14,339",2.402,"5,969.6"
Midlothian,Village,"14,325",2.819,"5,081.6"
Beach Park,Village,"14,249",7.079,"2,012.9"
Morris,City,"14,163",9.909,"1,429.3"
Shiloh,Village,"14,098",11.032,"1,277.9"
Wauconda,Village,"14,084",5.072,"2,776.8"
Wood Dale,City,"14,012",4.783,"2,929.5"
Glen Carbon,Village,"13,842",10.25,"1,350.4"
Western Springs,Village,"13,629",2.785,"4,893.7"
Warrenville,City,"13,553",5.46,"2,482.2"
La Grange Park,Village,"13,475",2.233,"6,034.5"
Lincolnwood,Village,"13,463",2.692,"5,001.1"
Channahon,Village,"13,383",15.622,856.7
Hazel Crest,Village,"13,382",3.397,"3,939.4"
Lincoln,City,"13,288",6.247,"2,127.1"
Canton,City,"13,242",7.858,"1,685.2"
Northlake,City,"12,840",3.176,"4,042.8"
Richton Park,Village,"12,775",4.392,"2,908.7"
Minooka,Village,"12,758",9.405,"1,356.5"
Winnetka,Village,"12,744",3.811,"3,344.0"
Justice,Village,"12,600",2.84,"4,436.6"
Kewanee,City,"12,509",6.597,"1,896.2"
Streator,City,"12,500",7.293,"1,714.0"
Rantoul,Village,"12,371",8.49,"1,457.1"
Herrin,City,"12,352",9.673,"1,277.0"
Effingham,City,"12,252",10.309,"1,188.5"
Centralia,City,"12,182",8.2,"1,485.6"
Cahokia[a],Village,"12,096",9.753,"1,240.2"
Palos Heights,City,"12,068",3.774,"3,197.7"
Plano,City,"11,847",8.979,"1,319.4"
River Forest,Village,"11,717",2.48,"4,724.6"
Schiller Park,Village,"11,709",2.77,"4,227.1"
Markham,City,"11,661",5.405,"2,157.4"
Burr Ridge,Village,"11,192",7.143,"1,566.8"
Summit,Village,"11,161",2.119,"5,267.1"
Pontiac,City,"11,150",8.382,"1,330.2"
Waterloo,City,"11,013",8.132,"1,354.3"
Columbia,City,"10,999",10.303,"1,067.6"
Roscoe,Village,"10,983",10.265,"1,069.9"
Fox Lake,Village,"10,978",7.833,"1,401.5"
Worth,Village,"10,970",2.369,"4,630.6"
Troy,City,"10,960",5.62,"1,950.2"
Campton Hills,Village,"10,885",16.89,644.5
Crestwood,Village,"10,826",3.049,"3,550.7"
Lyons,Village,"10,817",2.207,"4,901.2"
Barrington,Village,"10,722",4.608,"2,326.8"
Riverdale,Village,"10,663",3.575,"2,982.7"
River Grove,Village,"10,612",2.391,"4,438.3"
Taylorville,City,"10,506",10.315,"1,018.5"
Wood River,City,"10,464",6.975,"1,500.2"
