source,target,type,weight
Rockford,Elgin,interstate,1.5
Aurora,Moline,interstate,2
Moline,Galesburg,interstate,1
Galesburg,Peoria,interstate,0.5
Peoria,Bloomington,interstate,1
Bloomington,Champaign,interstate,0.5
Champaign,Urbana,adjacent,0.1
Champaign,Kankakee,interstate,1.5
Champaign,Danville,interstate,0.5
Champaign,Effingham,interstate,2
Effingham,Mount Vernon,interstate,1.5
Mount Vernon,Cairo,interstate,2
Mount Vernon,Belleville,interstate,1
Springfield,Quincy,interstate,1.5
Springfield,Champaign,interstate,1.5
Belleville,Alton,interstate,0.5
