name,type,lat,lon,pop_2020,LA_sqmi,PD_sqmi
Sheldon,Village,40.7692032,-87.5639173,965,0.753,1281.5
Atkinson,Town,41.4208678,-90.0151121,965,1.921,502.3
Rapids City,Village,41.581696,-90.3434561,964,1.626,592.9
Leland,Village,41.6125307,-88.7995237,951,0.534,1780.9
Nauvoo,City,40.550042,-91.3848749,950,3.386,280.6
Raymond,Village,39.3194941,-89.5720367,949,1.258,754.4
Goodfield,Village,40.6297593,-89.2748084,936,1.622,577.1
Odin,Village,38.617271,-89.0522867,935,1.003,932.2
Hamel,Village,38.8889357,-89.845375,929,1.19,780.7
Astoria,Town,40.227545,-90.3595683,929,0.586,1585.3
Mansfield,Village,40.211422,-88.5061721,928,0.508,1826.8
Pleasant Hill,Village,39.4433806,-90.8723527,924,0.765,1207.8
Beckemeyer,Village,38.6056043,-89.4359158,923,0.613,1505.7
Argenta,Village,39.9819808,-88.8228535,913,0.653,1398.2
Marine,Village,38.7864361,-89.7775939,912,0.746,1222.5
Ramsey,Village,39.1444882,-89.108685,911,1.111,820.0
Gifford,Village,40.305868,-88.0211489,911,0.444,2051.8
Timberlane,Village,42.3347416,-88.8612138,906,1.746,518.9
Percy,Village,38.0164398,-89.6187089,906,0.979,925.4
Franklin Grove,Village,41.8416982,-89.3003765,896,0.467,1918.6
Roseville,Village,40.7322617,-90.6645784,892,0.739,1207.0
Oreana,Village,39.9386476,-88.8656324,891,0.468,1903.8
Dieterich,Village,39.0620618,-88.3801638,890,1.366,651.5
Wyanet,Village,41.3653402,-89.5807355,886,0.946,936.6
Annawan,Town,41.3972573,-89.9045518,884,2.135,414.1
Mendon,Village,40.0883795,-91.2837565,872,0.857,1017.5
Viola,Village,41.2030911,-90.5870792,869,0.838,1037.0
Glasford,Village,40.5725386,-89.813442,866,0.908,953.7
Albany,Village,41.7894748,-90.2192941,864,1.071,806.7
Shabbona,Village,41.7680851,-88.8770311,863,1.283,672.6
Hanover,Village,42.2564051,-90.2795734,863,1.122,769.2
Ridgway,Village,37.7992131,-88.2611509,851,0.88,967.0
Clay City,Village,38.6886589,-88.354212,847,1.782,475.3
Illiopolis,Village,39.8536535,-89.2420291,846,0.677,1249.6
Ringwood,Village,42.3922427,-88.2970335,844,3.864,218.4
Essex,Village,41.1771377,-88.1855325,841,2.327,361.4
Elkville,Village,37.9101556,-89.2358071,838,0.767,1092.6
Stonington,Village,39.6400426,-89.1928608,837,0.457,1831.5
Coulterville,Village,38.1864389,-89.6056504,834,0.569,1465.7
Stronghurst,Village,40.7452012,-90.9080173,833,0.873,954.2
Paw Paw,Village,41.688919,-88.9811987,830,0.572,1451.0
Hopedale,Village,40.4208735,-89.4145404,830,0.882,941.0
Galatia,Village,37.8406038,-88.6092215,827,1.952,423.7
Meredosia,Village,39.8311579,-90.5595708,826,0.864,956.0
Sheffield,Village,41.3584839,-89.736908,821,1.169,702.3
Cissna Park,Village,40.5647578,-87.8930897,817,0.725,1126.9
Loami,Village,39.6756064,-89.846771,812,1.012,802.4
Pleasant Plains,Village,39.8728269,-89.9212211,808,1.335,605.2
Dallas City,City,40.6373546,-91.1679346,805,2.374,339.1
Spaulding,Village,39.8663257,-89.5403472,801,0.75,1068.0
Shannon,Village,42.1547457,-89.7398389,801,0.482,1661.8
Hardin,Village,37.4999684,-88.23783528339774,801,2.128,376.4
New Milford,Village,42.1868512,-89.0673744,794,2.543,312.2
Enfield,Village,38.0994913,-88.3375447,794,1.011,785.4
Alexis,Village,41.0633703,-90.5559675,793,0.475,1669.5
Forest View,Village,41.8103241,-87.7803976,792,1.168,678.1
Pearl City,Village,42.265297,-89.8259532,790,0.641,1232.4
Ridge Farm,Village,39.8955918,-87.6519669,787,3.056,257.5
West Salem,Village,38.5208829,-88.0047565,786,1.56,503.8
Witt,City,39.2564351,-89.3481413,785,1.237,634.6
Newman,City,39.7986455,-87.9858677,778,0.613,1269.2
Brimfield,Village,40.838926,-89.8864976,778,0.821,947.6
Hennepin,Village,41.2542033,-89.3423112,769,5.307,144.9
Orangeville,Village,42.4680287,-89.6448828,766,0.676,1133.1
Hurst,City,37.8331059,-89.1428573,764,0.887,861.3
Livingston,Village,40.8682487,-88.5631125,763,1.04,733.7
East Galesburg,Village,40.9478158,-90.3101264,763,1.365,559.0
Woodhull,Village,41.1789256,-90.3159582,754,0.882,854.9
Tilden,Village,38.2119935,-89.6825971,750,0.975,769.2
Ashkum,Village,40.8803114,-87.9550405,750,0.835,898.2
Tonica,Village,41.2158684,-89.0667489,749,1.363,549.5
Piper City,Village,40.756702,-88.191158,745,0.555,1342.3
Greenview,Village,40.0831024,-89.7381633,745,0.859,867.3
Wataga,Village,41.0253155,-90.2798475,744,0.829,897.5
McLean,Village,40.4631789,-88.8196613,743,1.177,631.3
Tiskilwa,Village,41.2922592,-89.5062042,740,0.517,1431.3
Oakland,City,41.8236135,-87.6056353,739,0.783,943.8
Kinmundy,City,38.7733806,-88.8467224,733,1.198,611.9
Ogden,Village,40.1139237,-87.9561449,729,0.588,1239.8
Brookport,City,37.1236664,-88.6303267,725,0.653,1110.3
Taylor Springs,Village,39.1308806,-89.4920315,724,1.05,689.5
Braceville,Village,41.2269765,-88.2647833,724,3.111,232.7
Stewardson,Village,39.263096,-88.6297778,721,0.61,1182.0
South Wilmington,Village,41.17281,-88.276726,710,0.492,1443.1
Matherville,Village,41.2597571,-90.6079133,707,0.391,1808.2
Avon,Village,40.6642065,-90.4348506,704,0.444,1585.6
Pocahontas,Village,38.8278248,-89.5400849,697,0.783,890.2
Oneida,City,41.0722596,-90.2254003,696,0.763,912.2
Elizabeth,Village,42.3177911,-90.221517,694,0.9,771.1
Sherrard,Village,41.318924,-90.505966,692,0.928,745.7
Brownstown,Village,38.995878,-88.9528394,690,0.76,907.9
Tampico,Village,41.6324811,-89.7850393,689,0.394,1748.7
Potomac,Village,40.305036,-87.8005829,689,0.488,1411.9
Farmersville,Village,39.4433854,-89.6517619,689,0.703,980.1
